"Plan General Contable PYMES 2008","Pla general comptable PyMEs 2008","0"
"Plan General Contable 2008","Pla general comptable 2009","0"
"Financiación Básica","Finançament Bàsic","1"
"Capital","Capital","10"
"Capital social","Capital social","100"
"Fondo social","Fons social","101"
"Capital","Capital","102"
"Socios por desembolsos no exigidos","Socis per desemborsaments no exigits","103"
"Socios por desembolsos no exigidos, capital social","Socis per desemborsaments no exigits, capital social","1030"
"Socios por desembolsos no exigidos, capital pendiente de inscripción","Socis per desemborsaments no exigits, capital pendent d'inscripció","1034"
"Socios por aportaciones no dinerarias pendientes","Socis per aportacions no dineràries pendents","104"
"Socios por aportaciones no dinerarias pendientes, capital social","Socis per aportacions no dineràries pendents, capital social","1040"
"Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción","Socis per aportacions no dineràries pendents, capital pendent d'inscripció","1044"
"Acciones o participaciones propias en situaciones especiales","Accions o participacions pròpies en situacions especials","108"
"Acciones o participaciones propias para reducción de capital","Accions o participacions pròpies per  reducció de capital","109"
"Reservas y otros instrumentos de patrimonio","Reserves i altres instruments de patrimoni","11"
"Prima de Emisión o asunción","Prima d'emissió o assumpció","110"
"Otros Instrumentos de patrimonio neto","Altres instruments de patrimoni net","111"
"Patrimonio neto por emision de instrumentos financieros compuestos","Patrimoni net per emissió d'instruments financers compostos","1110"
"Resto de instrumentos de patrimonio neto","Resta d'instruments de patrimoni net","1111"
"Reserva Legal","Reserva legal","112"
"Reservas voluntarias","Reserves voluntàries","113"
"Reservas especiales","Reserves especials","114"
"Reservas para acciones o participaciones de la sociedad dominante","Reserves per a accions o participacions de la societat dominant","1140"
"Reservas estatutarias","Reserves estatutàries","1141"
"Reserva por capital amortizado","Reserva per capital amortitzat","1142"
"Reserva por fondo de comercio","Reserva per fons de comerç","1143"
"Reservas por acciones propias aceptadas en garantía","Reserves per accions pròpies acceptades en garantia","1144"
"Reservas por pérdidas y ganancias actuariales y otros ajustes","Reserves per pèrdues i guanys actuarials i altres ajustaments","115"
"Aportaciones de socios o propietarios","Aportacions de socis o propietaris","118"
"Diferencias por ajuste del capital a euros","Diferències per ajustament del capital a euros","119"
"Resultados pendientes de Aplicación","Resultats pendents d'aplicació","12"
"Remanente","Romanent","120"
"Resultados negativos de ejercicios anteriores","Resultats negatius d'exercicis anteriors","121"
"Resultado del ejercicio","Resultat de l'exercici","129"
"Subvenciones, donaciones y ajustes por cambio de valor","Subvencions, donacions i ajustaments per canvis de valor","13"
"Subvenciones oficiales de capital","Subvencions oficials de capital","130"
"Donaciones y legados de capital","Donacions i llegats de capital","131"
"Otras subvenciones, donaciones y legados","Altres subvencions, donacions i llegats","132"
"Ajustes por valoración en activos financieros disponibles para la venta","Ajustaments per valoració en actius financers disponibles per a la venda","133"
"Operaciones de cobertura","Operacions de cobertura","134"
"Cobertura de flujos de efectivo","Cobertura de fluxos d'efectiu","1340"
"Cobertura de una inversión neta en un negocio en el extranjero","Cobertura d'una inversió neta en un negoci a l'estranger","1341"
"Diferencias de conversión","Diferències de conversió","135"
"Ajustes por valoración de activos no corrientes y grupos enajenables de elementos, mantenidos para la venta","Ajustaments per valoració en actius no corrents i grups alienables d'elements, mantinguts per a la venda","136"
"Ingresos fiscales a distribuir en varios ejercicios","Ingressos fiscals a distribuir en diversos exercicis","137"
"Ingresos fiscales por diferencias permanentes a distribuir en varios ejercicios","Ingressos fiscals per diferències permanents a distribuir en diversos exercicis","1370"
"Ingresos fiscales por deducciones y bonificaciones a distribuir en varios ejercicios","Ingressos fiscals per deduccions i bonificacions a distribuir en diversos exercicis","1371"
"Provisiones","Provisions","14"
"Provisión por retribuciones del personal","Provisió per retribucions a llarg termini al personal","140"
"Provisión para impuestos","Provisió per a impostos","141"
"Provisión para otras responsabilidades","Provisió per a altres responsabilitats","142"
"Provisión por desmantelamiento, retiro o rehabilitación del inmovilizado","Provisió per desmantellament, retirament o rehabilitació de l'immobilitzat","143"
"Provisión para actuaciones medioambientales","Provisió per a actuacions mediambientals","145"
"Provisión para reestructuraciones","Provisió per a reestructuracions","146"
"Provisión por transacciones con pagos basados en instrumentos de patrimonio","Provisió per a transaccions amb pagaments basats en instruments de patrimoni","147"
"Deudas con características especiales","Deutes a llarg termini amb característiques especials","15"
"Acciones o participaciones consideradas como pasivos financieros","Accions o participacions a llarg termini considerades com a passius financers","150"
"Desembolsos no exigidos por acciones o participaciones consideradas como pasivos financieros","Desemborsaments no exigits per accions o participacions considerades com passius financers","153"
"Desembolsos no exigidos, empresas del grupo","Desemborsaments no exigits, empreses del grup","1533"
"Desembolsos no exigidos, empresas asociadas","Desemborsaments no exigits, empreses associades","1534"
"Desembolsos no exigidos, otras partes vinculadas","Desemborsaments no exigits, altres parts vinculades","1535"
"Otros desembolsos no exigidos","Altres desemborsaments no exigits","1536"
"Aportaciones no dinerarias pendientes por acciones o participaciones consideradas como pasivos financieros","Aportacions no dineràries pendents per accions o participacions considerades com a passius financers","154"
"Aportaciones no dinerarias pendientes, empresas del grupo","Aportacions no dineràries pendents, empreses del grup","1543"
"Aportaciones no dinerarias pendientes, empresas asociadas","Aportacions no dineràries pendents, empreses associades","1544"
"Aportaciones no dinerarias pendientes, otras partes vinculadas","Aportacions no dineràries pendents, altres parts vinculades","1545"
"Otras aportaciones no dinerarias pendientes","Altres aportacions no dineràries pendents","1546"
"Deudas con partes vinculadas","Deutes a llarg termini  amb parts vinculades","16"
"Deudas con entidades de crédito vinculadas","Deutes a llarg termini amb entitats de crèdit vinculades","160"
"Deudas con entidades de crédito vinculadas, empresas del grupo","Deutes a llarg termini amb entitats de crèdit , empreses del grup","1603"
"Deudas con entidades de crédito vinculadas, empresas asociadas","Deutes a llarg termini amb entitats de crèdit , empreses associades","1604"
"Deudas con otras entidades de crédito vinculadas","Deutes a llarg termini amb altres entitats de crèdit vinculades","1605"
"Proveedores de inmovilizado, partes vinculadas","Proveïdors d'immobilitzat a llarg termini, parts vinculades","161"
"Proveedores de inmovilizado, empresas del grupo","Proveïdors d'immobilitzat a llarg termini, empreses del grup","1613"
"Proveedores de inmovilizado, empresas asociadas","Proveïdors d'immobilitzat a llarg termini, empreses associades","1614"
"Proveedores de inmovilizado, otras partes vinculadas","Proveïdors d'immobilitzat a llarg termini, altres parts vinculades","1615"
"Acreedores por arrendamiento financiero, partes vinculadas","Creditors per arrendament financer a larg termini, parts vinculades","162"
"Acreedores por arrendamiento financiero, empresas de grupo","Creditors per arrendament financer a llarg termini, empreses de grup","1623"
"Acreedores por arrendamiento financiero, empresas asociadas","Creditors per arrendament financer a llarg termini, empreses associades","1624"
"Acreedores por arrendamiento financiero, otras partes vinculadas","Creditors per arrendament financer a llarg termini, altres parts vinculades","1625"
"Otras deudas con partes vinculadas","Altres deutes a llarg termini amb parts vinculades","163"
"Otras deudas, empresas del grupo","Altres deutes a llarg termini, empreses del grup","1633"
