"IVA 0% Importaciones bienes corrientes","IVA 0% Importacions béns corrents"
"IVA 0% Importaciones bienes de inversión","IVA 0% Importacions béns d'inversió"
"IVA 4% Importaciones bienes corrientes","IVA 4% Importacions béns corrents"
"IVA 4% Importaciones bienes de inversión","IVA 4% Importacions béns d'inversió"
"IVA 7% Importaciones bienes corrientes","IVA 7% Importacions béns corrents"
"IVA 7% Importaciones bienes de inversión","IVA 7% Importacions béns d'inversió"
"IVA 8% Importaciones bienes corrientes","IVA 8% Importacions béns corrents"
"IVA 8% Importaciones bienes de inversión","IVA 8% Importacions béns d'inversió"
"IVA 10% Importaciones bienes corrientes","IVA 10% Importacions béns corrents"
"IVA 10% Importaciones bienes de inversión","IVA 10% Importacions béns d'inversió"
"IVA 16% Importaciones bienes corrientes","IVA 16% Importacions béns corrents"
"IVA 16% Importaciones bienes de inversión","IVA 16% Importacions béns d'inversió"
"IVA 18% Importaciones bienes corrientes","IVA 18% Importacions béns corrents"
"IVA 18% Importaciones bienes de inversión","IVA 18% Importacions béns d'inversió"
"IVA 21% Importaciones bienes corrientes","IVA 21% Importacions béns corrents"
"IVA 21% Importaciones bienes de inversión","IVA 21% Importacions béns d'inversió"
"IVA 0% Exportaciones","IVA 0% Exportacions"
"IVA 16% Inversión del sujeto pasivo","IVA 16% Inversió del subjecte passiu"
"IVA 16% Inversión del sujeto pasivo (1)","IVA 16% Inversió del subjecte passiu (1)"
"IVA 16% Inversión del sujeto pasivo (2)","IVA 16% Inversió del subjecte passiu (2)"
"IVA 16% Inversión del sujeto pasivo (3)","IVA 16% Inversió del subjecte passiu (3)"
"IVA 18% Inversión del sujeto pasivo","IVA 18% Inversió del subjecte passiu"
"IVA 18% Inversión del sujeto pasivo (1)","IVA 18% Inversió del subjecte passiu (1)"
"IVA 18% Inversión del sujeto pasivo (2)","IVA 18% Inversió del subjecte passiu (2)"
"IVA 18% Inversión del sujeto pasivo (3)","IVA 18% Inversió del subjecte passiu (3)"
"IVA 21% Inversión del sujeto pasivo","IVA 21% Inversió del subjecte passiu"
"IVA 21% Inversión del sujeto pasivo (1)","IVA 21% Inversió del subjecte passiu (1)"
"IVA 21% Inversión del sujeto pasivo (2)","IVA 21% Inversió del subjecte passiu (2)"
"IVA 21% Inversión del sujeto pasivo (3)","IVA 21% Inversió del subjecte passiu (3)"
"IVA 0% Intracomunitario","IVA 0% Intracomunitari"
"IVA 4% Intracomunitario. Bienes corrientes","IVA 4% Intracomunitari. Béns corrents"
"IVA 4% Intracomunitario. Bienes corrientes (1)","IVA 4% Intracomunitari. Béns corrents (1)"
"IVA 4% Intracomunitario. Bienes corrientes (2)","IVA 4% Intracomunitari. Béns corrents (2)"
"IVA 4% Intracomunitario. Bienes de inversión","IVA 4% Intracomunitari. Béns d'inversió"
"IVA 4% Intracomunitario. Bienes de inversión (1)","IVA 4% Intracomunitari. Béns d'inversió (1)"
"IVA 4% Intracomunitario. Bienes de inversión (2)","IVA 4% Intracomunitari. Béns d'inversió (2)"
"IVA 7% Intracomunitario. Bienes corrientes","IVA 7% Intracomunitari. Béns corrents"
"IVA 7% Intracomunitario. Bienes corrientes (1)","IVA 7% Intracomunitari. Béns corrents (1)"
"IVA 7% Intracomunitario. Bienes corrientes (2)","IVA 7% Intracomunitari. Béns corrents (2)"
"IVA 7% Intracomunitario. Bienes de inversión","IVA 7% Intracomunitari. Béns d'inversió"
"IVA 7% Intracomunitario. Bienes de inversión (1)","IVA 7% Intracomunitari. Béns d'inversió (1)"
"IVA 7% Intracomunitario. Bienes de inversión (2)","IVA 7% Intracomunitari. Béns d'inversió (2)"
"IVA 8% Intracomunitario. Bienes corrientes","IVA 8% Intracomunitari. Béns corrents"
"IVA 8% Intracomunitario. Bienes corrientes (1)","IVA 8% Intracomunitari. Béns corrents (1)"
"IVA 8% Intracomunitario. Bienes corrientes (2)","IVA 8% Intracomunitari. Béns corrents (2)"
"IVA 8% Intracomunitario. Bienes de inversión","IVA 8% Intracomunitari. Béns d'inversió"
"IVA 8% Intracomunitario. Bienes de inversión (1)","IVA 8% Intracomunitari. Béns d'inversió (1)"
