"Régimen Nacional","Règim Nacional"
"Recargo de Equivalencia","Recàrrec d'Equivalència"
"Régimen Extracomunitario","Règim Extra-comunitari"
"Régimen Intracomunitario","Règim Intracomunitari"
"Retención IRPF 21%","Retenció IRPF 21%"
"Retención IRPF 20%","Retenció IRPF 20%"
"Retención IRPF 19%","Retenció IRPF 19%"
"Retención IRPF 18%","Retenció IRPF 18%"
"Retención IRPF 15%","Retenció IRPF 15%"
"Retención IRPF 9%","Retenció IRPF 9%"
"Retención IRPF 7%","Retenció IRPF 7%"
"Retención IRPF 2%","Retenció IRPF 2%"
"Retención IRPF 1%","Retenció IRPF 1%"
